,station,date,prcp,tobs,name,latitude,longitude,elevation
99,USC00519397,2011-02-07,1.29,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
100,USC00519397,2011-02-08,1.3,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
101,USC00519397,2011-02-10,0.29,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
102,USC00519397,2011-02-14,0.04,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
103,USC00519397,2011-02-15,0.05,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
104,USC00519397,2011-02-20,1.72,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
105,USC00519397,2011-02-22,0.82,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
106,USC00519397,2011-02-24,0.2,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
107,USC00519397,2011-03-01,0.1,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
108,USC00519397,2011-03-04,0.88,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
109,USC00519397,2011-03-05,0.4,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
110,USC00519397,2011-03-06,0.03,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
111,USC00519397,2011-03-09,0.2,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
112,USC00519397,2011-03-10,0.15,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
113,USC00519397,2011-03-17,0.01,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
114,USC00519397,2011-03-18,0.05,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
115,USC00519397,2011-03-19,0.01,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
116,USC00519397,2011-03-20,0.02,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
117,USC00519397,2011-03-22,0.02,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
118,USC00519397,2011-03-24,0.06,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
119,USC00519397,2011-03-28,0.04,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
120,USC00519397,2011-04-01,0.05,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
121,USC00519397,2011-04-02,0.04,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
122,USC00519397,2011-04-06,0.09,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
123,USC00519397,2011-04-07,1.11,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
124,USC00519397,2011-04-08,0.36,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
125,USC00519397,2011-04-09,0.02,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
126,USC00519397,2011-04-16,0.12,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
127,USC00519397,2011-04-30,0.04,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
128,USC00519397,2011-05-03,2.1,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
129,USC00519397,2011-05-04,0.02,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
130,USC00519397,2011-05-05,0.12,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
131,USC00519397,2011-05-06,0.12,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
132,USC00519397,2011-05-07,0.55,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
133,USC00519397,2011-05-08,0.55,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
134,USC00519397,2011-05-09,0.02,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
135,USC00519397,2011-05-10,0.11,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
